From Win10 22H2.
api-ms-win-core-file-l1-1-1 -> kernelbase.dll
api-ms-win-core-file-l1-2-3 -> kernelbase.dll
api-ms-win-core-file-l2-1-3 -> kernelbase.dll
api-ms-win-core-firmware-l1-1-0 -> kernel32.dll
api-ms-win-core-guard-l1-1-0 -> kernelbase.dll
api-ms-win-core-handle-l1-1-0 -> kernelbase.dll
api-ms-win-core-heap-l1-1-0 -> kernelbase.dll
api-ms-win-core-heap-l1-2-0 -> kernelbase.dll
api-ms-win-core-heap-l2-1-0 -> kernelbase.dll
api-ms-win-core-heap-obsolete-l1-1-0 -> kernel32.dll
api-ms-win-core-interlocked-l1-1-1 -> kernelbase.dll
api-ms-win-core-interlocked-l1-2-0 -> kernelbase.dll
api-ms-win-core-io-l1-1-1 -> kernel32.dll
api-ms-win-core-io-l1-1-1 -> kernelbase.dll
api-ms-win-core-job-l1-1-0 -> kernelbase.dll
api-ms-win-core-job-l2-1-1 -> kernel32.dll
api-ms-win-core-kernel32-legacy-ansi-l1-1-0 -> kernel32.dll
api-ms-win-core-kernel32-legacy-l1-1-6 -> kernel32.dll
api-ms-win-core-kernel32-private-l1-1-2 -> kernel32.dll
api-ms-win-core-largeinteger-l1-1-0 -> kernelbase.dll
api-ms-win-core-libraryloader-l1-1-1 -> kernelbase.dll
api-ms-win-core-libraryloader-l1-2-2 -> kernelbase.dll
api-ms-win-core-libraryloader-l2-1-0 -> kernelbase.dll
api-ms-win-core-libraryloader-private-l1-1-0 -> kernelbase.dll
api-ms-win-core-localization-ansi-l1-1-0 -> kernel32.dll
api-ms-win-core-localization-l1-1-0 -> kernelbase.dll
api-ms-win-core-localization-l1-2-3 -> kernelbase.dll
api-ms-win-core-localization-l2-1-0 -> kernelbase.dll
api-ms-win-core-localization-obsolete-l1-1-0 -> kernelbase.dll
api-ms-win-core-localization-obsolete-l1-2-0 -> kernelbase.dll
api-ms-win-core-localization-obsolete-l1-3-0 -> kernelbase.dll
api-ms-win-core-localization-private-l1-1-0 -> kernelbase.dll
api-ms-win-core-localregistry-l1-1-0 -> kernelbase.dll
api-ms-win-core-marshal-l1-1-0 -> combase.dll
api-ms-win-core-memory-l1-1-7 -> kernelbase.dll
api-ms-win-core-misc-l1-1-0 -> kernelbase.dll
api-ms-win-core-multipleproviderrouter-l1-1-0 -> mpr.dll
api-ms-win-core-namedpipe-ansi-l1-1-1 -> kernel32.dll
api-ms-win-core-namedpipe-l1-1-0 -> kernelbase.dll
api-ms-win-core-namedpipe-l1-2-2 -> kernelbase.dll
api-ms-win-core-namespace-ansi-l1-1-0 -> kernel32.dll
api-ms-win-core-namespace-l1-1-0 -> kernelbase.dll
api-ms-win-core-normalization-l1-1-0 -> kernelbase.dll
api-ms-win-core-path-l1-1-0 -> kernelbase.dll
api-ms-win-core-pcw-l1-1-0 -> kernelbase.dll
api-ms-win-core-perfcounters-l1-1-0 -> kernelbase.dll
api-ms-win-core-perfcounters-l1-2-0 -> kernelbase.dll
api-ms-win-core-perfstm-l1-1-0 -> kernelbase.dll
api-ms-win-core-privateprofile-l1-1-1 -> kernel32.dll
api-ms-win-core-processenvironment-ansi-l1-1-0 -> kernel32.dll
api-ms-win-core-processenvironment-l1-1-1 -> kernelbase.dll
api-ms-win-core-processenvironment-l1-2-0 -> kernelbase.dll
api-ms-win-core-processsecurity-l1-1-0 -> kernel32.dll
api-ms-win-core-processsecurity-l1-1-0 -> kernelbase.dll
api-ms-win-core-processsnapshot-l1-1-0 -> kernelbase.dll
api-ms-win-core-processthreads-l1-1-3 -> kernel32.dll
api-ms-win-core-processthreads-l1-1-3 -> kernelbase.dll
api-ms-win-core-processtopology-l1-1-0 -> kernelbase.dll
